JenisSurat,Perihal,Dari/Untuk,Tipe,Teks_Input_Gabungan,Kategori_Target
Keluar,1. Berita Acara Kesepakatan tentang Penerimaan Pembayaran Angsuran Pembiayaan secara Online antara PT Pos Indonesia (Persero) dengan PT Trihamas Finance Syariah 2. Perjanjian Kerja Sama antara PT Trihamas Finance Syariah dengan PT Pos Indonesia (Persero) tentang Penerimaan Pembayaran Angsuran Pembiayaan secara Online,Direktur Bisnis Jasa Keuangan;,591 - SPK dan PKS,keluar 1 berita acara kesepakatan tentang penerimaan pembayaran angsuran pembiayaan secara online antara pt pos indonesia persero dengan pt trihamas finance syariah 2 perjanjian kerja sama antara pt trihamas finance syariah dengan pt pos indonesia persero tentang penerimaan pembayaran angsuran pembiayaan secara online direktur bisnis jasa keuangan,SPK DAN PKS
Keluar,Surat Edaran Nomor : SE 038/DIR-1/1222 tentang Petunjuk Pelaksanaan Implementasi Cost Center per Direktorat,Direktur Keuangan dan Manajemen Risiko;,594 - SE,keluar surat edaran nomor se 038 dir 1 1222 tentang petunjuk pelaksanaan implementasi cost center per direktorat direktur keuangan dan manajemen risiko,SE
Keluar,Perjanjian Kerja Sama antara PT Pos Indonesia (Persero) dengan PT Uang Kita tentang Pemanfaatan Layanan Weselpos Dalam Negeri,SVP Financial Service;,595 - SPK dan PKS,keluar perjanjian kerja sama antara pt pos indonesia persero dengan pt uang kita tentang pemanfaatan layanan weselpos dalam negeri svp financial service,SPK DAN PKS
Masuk,Permintaan Keterangan,Kepala Seksi Intelijen Kejaksaan Negeri Jakarta Barat,597 - Surat Dinas,masuk permintaan keterangan kepala seksi intelijen kejaksaan negeri jakarta barat,SURAT DINAS
Keluar,Surat Keputusan Direksi tentang Pembentukan Komite Risiko dan Ketaatan PT Pos Indonesia (Persero),Direktur Utama;,599 - SK,keluar surat keputusan direksi tentang pembentukan komite risiko dan ketaatan pt pos indonesia persero direktur utama,SK
Keluar,Keputusan Direksi Nomor : KD 036/DIR-5/0423 tentang Tarif Pos Marketplace,Direktur Bisnis Kurir dan Logistik;,600 - KD,keluar keputusan direksi nomor kd 036 dir 5 0423 tentang tarif pos marketplace direktur bisnis kurir dan logistik,KD
Keluar,Keputusan Direksi tentang Tarif Special Cargo,Direktur Bisnis Kurir dan Logistik;,601 - KD,keluar keputusan direksi tentang tarif special cargo direktur bisnis kurir dan logistik,KD
Keluar,Risalah Rapat Direksi  Selasa 13 Juni 2023,Direksi;,602 - Surat Dinas,keluar risalah rapat direksi selasa 13 juni 2023 direksi,SURAT DINAS
Masuk,"Panggilan Rapat Umum Anggota Tahunan (""RUA Tahunan"") Asosiasi Sistem Pembayaran Indonesia (""ASPI"") Tahun 2023",Ketua Umum Asosiasi Sistem Pembayaran Indonesia (ASPI),603 - Surat Dinas,masuk panggilan rapat umum anggota tahunan rua tahunan asosiasi sistem pembayaran indonesia aspi tahun 2023 ketua umum asosiasi sistem pembayaran indonesia aspi,SURAT DINAS
Masuk,Undangan,Pengurus Besar Pergerakan Mahasiswa Islam Indonesia (PMII),604 - Surat Dinas,masuk undangan pengurus besar pergerakan mahasiswa islam indonesia pmii,SURAT DINAS
Keluar,Pengakhiran atas Perjanjian Kerja Sama Nomor PKS 269/SVP Retail Business/1222 antara PT Pos Indonesia (Persero) dengan PT Karya Harapan Global tentang Pengelolaan Agenpos Layanan Jasa Kurir Business to Business Nomor PKS 136/Retail Business/0623,SVP Retail Business;,606 - SPK dan PKS,keluar pengakhiran atas perjanjian kerja sama nomor pks 269 svp retail business 1222 antara pt pos indonesia persero dengan pt karya harapan global tentang pengelolaan agenpos layanan jasa kurir business to business nomor pks 136 retail business 0623 svp retail business,SPK DAN PKS
Keluar,Perjanjian Kerja Sama antara PT Pos Indonesia (Persero) dengan KSPPS Manunggal Makmur tentang Pemotongan Uang Pensiun untuk Angsuran Kredit Pensiun dan Pemeliharaan Data (Flagging) Pegawai Negeri Sipil/Aparatur Sipil Negara/TNI/POLRI dan Pensiunan yang Memperoleh Kredit melalui KSPPS Manunggal Makmur Nomor : PKS 079/DIR-4/0423,Direktur Bisnis Jasa Keuangan;,607 - SPK dan PKS,keluar perjanjian kerja sama antara pt pos indonesia persero dengan kspps manunggal makmur tentang pemotongan uang pensiun untuk angsuran kredit pensiun dan pemeliharaan data flagging pegawai negeri sipil aparatur sipil negara tni polri dan pensiunan yang memperoleh kredit melalui kspps manunggal makmur nomor pks 079 dir 4 0423 direktur bisnis jasa keuangan,SPK DAN PKS
Keluar,Adendum Pertama atas Perjanjian Kerja Sama antara Dana Pensiun Pos Indonesia dengan PT Pos Indonesia (Persero) tentang Pembayaran Manfaat Pensiun Peserta Dana Pensiun Pos Indonesia melalui Rekening Giropos Nomor : PKS 023/DIR- 4/0123,Direktur Bisnis Jasa Keuangan;,608 - SPK dan PKS,keluar adendum pertama atas perjanjian kerja sama antara dana pensiun pos indonesia dengan pt pos indonesia persero tentang pembayaran manfaat pensiun peserta dana pensiun pos indonesia melalui rekening giropos nomor pks 023 dir 4 0123 direktur bisnis jasa keuangan,SPK DAN PKS
Keluar,Perbaikan usulan belanja investasi RKAP 2023 Program Kerja : Peremajaan Perangkat Kerja IT,Direktur Operasi dan Digital Services;,610 - Surat Dinas,keluar perbaikan usulan belanja investasi rkap 2023 program kerja peremajaan perangkat kerja it direktur operasi dan digital services,SURAT DINAS
Masuk,Pengantar Proposal Lintas Agama,Ketua Pelaksana Program Talkshow dan Warung Kerukunan Lintas Agama Indonesia Bangkit,611 - proposal,masuk pengantar proposal lintas agama ketua pelaksana program talkshow dan warung kerukunan lintas agama indonesia bangkit,PROPOSAL
Masuk,Surat Pengantar Proposal Permohonan Sponsorship,Vincentius Kelvin/087776047717.Paduan Suara Mahasiswa Universitas Padjajaran,612 - proposal,masuk surat pengantar proposal permohonan sponsorship vincentius kelvin 087776047717 paduan suara mahasiswa universitas padjajaran,PROPOSAL
Masuk,Panggilan/Pemberitahuan Surat Tercatat,Sekretaris Mahkamah Agung RI,613 - Surat Dinas,masuk panggilan pemberitahuan surat tercatat sekretaris mahkamah agung ri,SURAT DINAS
Masuk,Partisipasi dalam rangka menyambut HUT ke 78 RI,a.n Ketua Yayasan Pejuang Kemerdekaan Republik Indonesia  Sekretaris Umum,614 - proposal,masuk partisipasi dalam rangka menyambut hut ke 78 ri a n ketua yayasan pejuang kemerdekaan republik indonesia sekretaris umum,PROPOSAL
Masuk,Ajakan Berkurban,Deputi I Bidang Pengumpulan Badan Amil Zakat Nasional (BAZNAS) RI,615 - Surat Dinas,masuk ajakan berkurban deputi i bidang pengumpulan badan amil zakat nasional baznas ri,SURAT DINAS
Masuk,Permintaan Klarifikasi,Advokat/Konsultan Hukum Equity Knowledge Profesional Lawyers,616 - Surat Dinas,masuk permintaan klarifikasi advokat konsultan hukum equity knowledge profesional lawyers,SURAT DINAS
Masuk,Konfirmasi Data Terkait Pengenaan Sanksi Administrasi berupa Denda atas PT Pos Indonesia (Persero),Kepala Kantor Pelayanan Utama Bea dan Cukai Tipe C Soekarno Hatta Kementeria Keuangan RI,617 - Surat Dinas,masuk konfirmasi data terkait pengenaan sanksi administrasi berupa denda atas pt pos indonesia persero kepala kantor pelayanan utama bea dan cukai tipe c soekarno hatta kementeria keuangan ri,SURAT DINAS
Masuk,Partisipasi Iklan Kemitraan HUT BRI ke 128 Tahun,General Manager Koperasi Swakarya BRI,618 - Surat Dinas,masuk partisipasi iklan kemitraan hut bri ke 128 tahun general manager koperasi swakarya bri,SURAT DINAS
Masuk,Penawaran Harga Publikasi PT Pos Indonesia (Persero),Pimpinan Bandung Cyber Media,619 - Surat Dinas,masuk penawaran harga publikasi pt pos indonesia persero pimpinan bandung cyber media,SURAT DINAS
Masuk,Pengajuan Sponsorship pada Kegiatan Bandung Historical Study Games 2023,Koordinator Eksekutif Sahabat Museum Konperensi Asia Afrika,620 - Surat Dinas,masuk pengajuan sponsorship pada kegiatan bandung historical study games 2023 koordinator eksekutif sahabat museum konperensi asia afrika,SURAT DINAS
Masuk,Laporan Keuangan untuk tahun-tahun yang berakhir pada tanggal 31 Desember 2022 dan 2021 beserta Laporan Auditor Independen,Divisi Tanggung Jawab Sosial dan Lingkungan (TJSL),621 - laporan,masuk laporan keuangan untuk tahun tahun yang berakhir pada tanggal 31 desember 2022 dan 2021 beserta laporan auditor independen divisi tanggung jawab sosial dan lingkungan tjsl,LAPORAN
Keluar,Perjanjian Kerja Sama antara PT Pos Indonesia (Persero) dengan PT Birotika Semesta tentang Penyaluran Kiriman Pos Ekspor ke Luar Negeri,Direktur Operasi dan Digital Services;,623 - SPK dan PKS,keluar perjanjian kerja sama antara pt pos indonesia persero dengan pt birotika semesta tentang penyaluran kiriman pos ekspor ke luar negeri direktur operasi dan digital services,SPK DAN PKS
Keluar,Risalah Radir  Selasa 20 Juni 2023,Direksi;,625 - risalah,keluar risalah radir selasa 20 juni 2023 direksi,RISALAH
Masuk,Tanggapan Dewan Komisaris atas Laporan Manajemen Bulan Maret 2023 PT Pos Logistik Indonesia,Komisaris Utama PT Pos Logistik Indonesia,626 - laporan,masuk tanggapan dewan komisaris atas laporan manajemen bulan maret 2023 pt pos logistik indonesia komisaris utama pt pos logistik indonesia,LAPORAN
Masuk,Laporan Pelaksanaan Tugas Pengawasan Dewan Komisaris bulan Maret 2023,Komisaris Utama PT Pos Logistik Indonesia,627 - Surat Dinas,masuk laporan pelaksanaan tugas pengawasan dewan komisaris bulan maret 2023 komisaris utama pt pos logistik indonesia,SURAT DINAS
Masuk,Pameran dan Gelar Dagang Produk UPPKA dan UMKM dalam rangka HARGANAS ke-30 Tahun 2023,Badan Pengurus Pusat Perkumpulan Andalan Kelompok UPPKA (AKU),628 - Surat Dinas,masuk pameran dan gelar dagang produk uppka dan umkm dalam rangka harganas ke 30 tahun 2023 badan pengurus pusat perkumpulan andalan kelompok uppka aku,SURAT DINAS
Masuk,Partisipasi Pemasangan Iklan pada Majalah KADIN,Ketua Umum Kamar Dagang dan Industri Jawa Barat,629 - Surat Dinas,masuk partisipasi pemasangan iklan pada majalah kadin ketua umum kamar dagang dan industri jawa barat,SURAT DINAS
Masuk,Permohonan Bantuan Dana untuk Pembangunan Rumah Singgah Pastor Lingkungan St Aloysius Bolenggo,Panitia Pembangunan Kapela St. Aloysius Bolenggo tahap ke-3,630 - Surat Dinas,masuk permohonan bantuan dana untuk pembangunan rumah singgah pastor lingkungan st aloysius bolenggo panitia pembangunan kapela st aloysius bolenggo tahap ke 3,SURAT DINAS
Masuk,Surat Pengantar Proposal â€œProgram Kurban Rumah Amal 1444Hâ€◻,Direktur Rumah Amal Salman,631 - proposal,masuk surat pengantar proposal program kurban rumah amal 1444h direktur rumah amal salman,PROPOSAL
Masuk,Permohonan Partisipasi KAI- YPIA 2023 Yogyakarta,Yayasan Pendidikan Internal Audit,632 - Surat Dinas,masuk permohonan partisipasi kai ypia 2023 yogyakarta yayasan pendidikan internal audit,SURAT DINAS
Masuk,Kesediaan Berpartisipasi dalam Program Cosporate Governance Perception Index (CGPI) yang diselenggarakan IICG bersama Majalah SWA,The Indonesia Institute for Corporate Givernance,633 - Surat Dinas,masuk kesediaan berpartisipasi dalam program cosporate governance perception index cgpi yang diselenggarakan iicg bersama majalah swa the indonesia institute for corporate givernance,SURAT DINAS
Masuk,Partisipasi Penyelenggaraan Kegiatan Publikasi Pemberangkatan dan Kepulangan Calon Jemaah Haji Indonesia 1444 H/2023 M,Pengurus Pusat Ikatan Persaudaraan Haji Indonesia,634 - Surat Dinas,masuk partisipasi penyelenggaraan kegiatan publikasi pemberangkatan dan kepulangan calon jemaah haji indonesia 1444 h 2023 m pengurus pusat ikatan persaudaraan haji indonesia,SURAT DINAS
Masuk,Sponsorship Ucapan Selamat HUT Ke-39 PT Angkasa Pura II,Managing Director Majalah Transportasi Indonesia,635 - Surat Dinas,masuk sponsorship ucapan selamat hut ke 39 pt angkasa pura ii managing director majalah transportasi indonesia,SURAT DINAS
Masuk,Permohonan Kerjasama Pengelolaan Aset Tetap Tidak Beroperasi (Limbah Non B3),Direktur Utama PT Perusahaan Perdagangan Indonesia,636 - Surat Dinas,masuk permohonan kerjasama pengelolaan aset tetap tidak beroperasi limbah non b3 direktur utama pt perusahaan perdagangan indonesia,SURAT DINAS
Masuk,Surat Pengumuman Indonesia Digital Popular Brand Award 2023,PT Tras Mediacom  Indonesia Digital Popular Brand Award,637 - Surat Dinas,masuk surat pengumuman indonesia digital popular brand award 2023 pt tras mediacom indonesia digital popular brand award,SURAT DINAS
Masuk,Permohonan Bantuan Pembangunan Ruang Kelas Baru (RKB) dan Pembangunan Satu Ruang Guru,Kepala Sekolah Madrasah Tsanawiyah Guppi Cileles,638 - Surat Dinas,masuk permohonan bantuan pembangunan ruang kelas baru rkb dan pembangunan satu ruang guru kepala sekolah madrasah tsanawiyah guppi cileles,SURAT DINAS
Masuk,Program Peningkatan Kapasitas di Bidang Governansi  Risiko Kepatuhan dan Keberlanjutan,Direktur CRMS (Center for Risk Management & Sustainability),639 - Surat Dinas,masuk program peningkatan kapasitas di bidang governansi risiko kepatuhan dan keberlanjutan direktur crms center for risk management sustainability,SURAT DINAS
Masuk,Surat Penawaran Kerjasama,Toha Gandhi & Partner Benavita Aprilia,640 - proposal,masuk surat penawaran kerjasama toha gandhi partner benavita aprilia,PROPOSAL
Masuk,Himbauan untuk berpartisipasi dalam Digital Transformation Indonesia Conference and Exhibition (DTICX) 2023  26-27 Juli 2023  New Grand Ballroom Jakarta International Expo (JIExpo),Ketua Umum Telematika Indonesia (MASTEL),641 - Surat Dinas,masuk himbauan untuk berpartisipasi dalam digital transformation indonesia conference and exhibition dticx 2023 26 27 juli 2023 new grand ballroom jakarta international expo jiexpo ketua umum telematika indonesia mastel,SURAT DINAS
Masuk,Permohonan Bantuan Dana,Madrasah Diniyah Takmiliyah Awaliyah (MDTA) Qoryatul Hidayah,642 - Surat Dinas,masuk permohonan bantuan dana madrasah diniyah takmiliyah awaliyah mdta qoryatul hidayah,SURAT DINAS
Masuk,Permohonan Kerjasama Penyaluran Hewan Qurban Idul Adha 1444H,Pengurus Yayasan Pelopor Pengemban Amanah Bangsa,643 - Surat Dinas,masuk permohonan kerjasama penyaluran hewan qurban idul adha 1444h pengurus yayasan pelopor pengemban amanah bangsa,SURAT DINAS
Masuk,Undangan Seminar dan Round Table Discussion,Office Manager Asosiasi Auditor Internal,644 - Surat Dinas,masuk undangan seminar dan round table discussion office manager asosiasi auditor internal,SURAT DINAS
Masuk,LRCR Workshop,Direktur Indonesian Training Institute & Consulting Services (Intrinsics),645 - Surat Dinas,masuk lrcr workshop direktur indonesian training institute consulting services intrinsics,SURAT DINAS
Keluar,Adendum Ketiga Perjanjian Teknis Uji Pasar Minicab Miev di Indonesia Nomor PKS 100/SVP Operasi/0423,SVP Operation Management;,647 - SPK dan PKS,keluar adendum ketiga perjanjian teknis uji pasar minicab miev di indonesia nomor pks 100 svp operasi 0423 svp operation management,SPK DAN PKS
Keluar,Keputusan Direksi tentang Pedoman Penyelenggaraan Subsidi Operasional Layanan Pos Universal,Direktur Utama;,648 - KD,keluar keputusan direksi tentang pedoman penyelenggaraan subsidi operasional layanan pos universal direktur utama,KD
Keluar,Surat Edaran Nomor : SE 13/DIR-3/0623 tentang Petunjuk Pelaksanaan Penanganan Kiriman Internasional menggunakan Jaringan Universal Postal Union,Direktur Operasi dan Digital Services;,649 - SE,keluar surat edaran nomor se 13 dir 3 0623 tentang petunjuk pelaksanaan penanganan kiriman internasional menggunakan jaringan universal postal union direktur operasi dan digital services,SE
Keluar,Petikan Risalah Ratas  Selasa 20 Juni 2023 (P Helmi),Direksi;,650 - Surat Dinas,keluar petikan risalah ratas selasa 20 juni 2023 p helmi direksi,SURAT DINAS
Keluar,Iklan Kemitraan Bersama,Rima;,651 - Surat Dinas,keluar iklan kemitraan bersama rima,SURAT DINAS
Masuk,Surat Permohonan Pinjam Ruang Rapat,Asisten Deputi Keuangan Inklusif dan Keuangan Syariah  Kemenko Bidang Perekonomian,653 - Surat Dinas,masuk surat permohonan pinjam ruang rapat asisten deputi keuangan inklusif dan keuangan syariah kemenko bidang perekonomian,SURAT DINAS
Masuk,Panggilan kepada Jaya Santoso sebagai Penggugat Lawan PT Pos Indonesia (Persero) sebagai Tergugat,Pengadilan Hubungan Industrial pada Pengadilan Negeri Bandung Kelas 1A Khusus,654 - Surat Dinas,masuk panggilan kepada jaya santoso sebagai penggugat lawan pt pos indonesia persero sebagai tergugat pengadilan hubungan industrial pada pengadilan negeri bandung kelas 1a khusus,SURAT DINAS
Keluar,Laporan Manajemen Tahunan dan Hasil Pengawasan Dewan Komisaris PT Pos Indonesia (Persero) tahun 2022,Direktur Utama;Komisaris Utama;,655 - laporan,keluar laporan manajemen tahunan dan hasil pengawasan dewan komisaris pt pos indonesia persero tahun 2022 direktur utama komisaris utama,LAPORAN
Keluar,Perjanjian Larangan Pengungkapan dan Kerahasiaan antara PT Pos Indonesia (Persero) dengan PT Allo Bank Indonesia Tbk Nomor : NDA 124/SVP Financial Service/0523,SVP Sales and Marketing Financial Service;,656 - SPK dan PKS,keluar perjanjian larangan pengungkapan dan kerahasiaan antara pt pos indonesia persero dengan pt allo bank indonesia tbk nomor nda 124 svp financial service 0523 svp sales and marketing financial service,SPK DAN PKS
Keluar,Perjanjian Kerahasiaan Data dan Informasi Pra-Kontrak antara PT Algo Gapura Informasi dengan PT Pos Indonesia (Persero) Nomor : NDA 139/SVP Financial Service/0623,SVP Sales and Marketing Financial Service;,657 - SPK dan PKS,keluar perjanjian kerahasiaan data dan informasi pra kontrak antara pt algo gapura informasi dengan pt pos indonesia persero nomor nda 139 svp financial service 0623 svp sales and marketing financial service,SPK DAN PKS
Keluar,Adendum Perjanjian Jasa Angkutan Pendistribusian Bantuan Pangan Cadangan Beras Pemerintah Tahun 2023 antara Perusahaan Umum (Perum) Bulog dengan PT Pos Indonesia (Persero) Nomor : PKS 128/DIRUT/0523,Direktur Utama;,658 - SPK dan PKS,keluar adendum perjanjian jasa angkutan pendistribusian bantuan pangan cadangan beras pemerintah tahun 2023 antara perusahaan umum perum bulog dengan pt pos indonesia persero nomor pks 128 dirut 0523 direktur utama,SPK DAN PKS
Keluar,Nota Kesepahaman antara Mahkamah Agung Republik Indonesia dengan PT Pos Indonesia (Persero) tentang Pemanfaatan Layanan Pos Nomor : MOU 105/DIR- 5/0523,Direktur Utama;,659 - SPK dan PKS,keluar nota kesepahaman antara mahkamah agung republik indonesia dengan pt pos indonesia persero tentang pemanfaatan layanan pos nomor mou 105 dir 5 0523 direktur utama,SPK DAN PKS
Keluar,SPK Elvis,Corporate Secretary;,662 - SPK dan PKS,keluar spk elvis corporate secretary,SPK DAN PKS
Keluar,"Berita Acara Penetapan Pemenang Lomba Vlog Hari Kartini ""Srikandi Pos Indonesia Berkontribusi Untuk Negeri""",SVP HCS and Business Partner;,663 - Surat Dinas,keluar berita acara penetapan pemenang lomba vlog hari kartini srikandi pos indonesia berkontribusi untuk negeri svp hcs and business partner,SURAT DINAS
Keluar,Keputusan Direksi Nomor : 051/DIRUT/0623 tentang Penetapan Lembaga Pelatihan Kerja Pos Indonesia,Direktur Utama;,664 - KD,keluar keputusan direksi nomor 051 dirut 0623 tentang penetapan lembaga pelatihan kerja pos indonesia direktur utama,KD
Keluar,Perjanjian Waktu Tertentu antara PT Pos Indonesia (Persero) dengan Mochamad Yusuf sebagai Tenaga Kerja Profesional Perusahaan,Direktur Bisnis Kurir dan Logistik;,665 - SPK dan PKS,keluar perjanjian waktu tertentu antara pt pos indonesia persero dengan mochamad yusuf sebagai tenaga kerja profesional perusahaan direktur bisnis kurir dan logistik,SPK DAN PKS
Keluar,Perjanjian Waktu Tertentu antara PT Pos Indonesia (Persero) dengan Yus Yudiswara sebagai Tenaga Kerja Profesional Perusahaan,Direktur Keuangan dan Manajemen Risiko;,666 - SPK dan PKS,keluar perjanjian waktu tertentu antara pt pos indonesia persero dengan yus yudiswara sebagai tenaga kerja profesional perusahaan direktur keuangan dan manajemen risiko,SPK DAN PKS
Keluar,Perjanjian Waktu Tertentu antara PT Pos Indonesia (Persero) dengan Wahyu Hamdani sebagai Tenaga Kerja Profesional Perusahaan,Direktur Business Development and Portofolio Management;,667 - SPK dan PKS,keluar perjanjian waktu tertentu antara pt pos indonesia persero dengan wahyu hamdani sebagai tenaga kerja profesional perusahaan direktur business development and portofolio management,SPK DAN PKS
Keluar,Iklan Kemitraan Bersama,Kanaka Media Nusantara;,669 - Surat Dinas,keluar iklan kemitraan bersama kanaka media nusantara,SURAT DINAS
Keluar,Surat Keputusan Pendiri Dana Pensiun Pos Indonesia Tentang Pembentukan Komite Audit  Komite Risiko dan Komite Nominasi & Remunerasi pada Dewan Pengawas Dana Pensiun Pos Indonesia,Direktur Utama;,671 - SK,keluar surat keputusan pendiri dana pensiun pos indonesia tentang pembentukan komite audit komite risiko dan komite nominasi remunerasi pada dewan pengawas dana pensiun pos indonesia direktur utama,SK
Keluar,Risalah Radir  Selasa 27 Juni 2023,Direksi;,674 - risalah,keluar risalah radir selasa 27 juni 2023 direksi,RISALAH
Keluar,Perjanjian Kerja Waktu Tertentu antara PT Pos Indonesia (Persero) dengan Nico Benedictus Sianipar sebagai Tenaga kerja Profesional Perusahaan Nomor : PKS 114/DIR- 5/0523,Direktur Bisnis Kurir dan Logistik;,675 - SPK dan PKS,keluar perjanjian kerja waktu tertentu antara pt pos indonesia persero dengan nico benedictus sianipar sebagai tenaga kerja profesional perusahaan nomor pks 114 dir 5 0523 direktur bisnis kurir dan logistik,SPK DAN PKS
Masuk,Undangan Menghadiri Ujian Sidang Promosi Doktor (S3) Tahap II,Dekan Fakultas Pendidikan Ekonomi dan Bisnis Universitas Pendidikan Indonesia,676 - Surat Dinas,masuk undangan menghadiri ujian sidang promosi doktor s3 tahap ii dekan fakultas pendidikan ekonomi dan bisnis universitas pendidikan indonesia,SURAT DINAS
Masuk,Undangan Menghadiri Ujian Sidang Promosi Doktor (S3) Tahap II,Dekan Fakultas Pendidikan Ekonomi dan Bisnis Universitas Pendidikan Indonesia,677 - Surat Dinas,masuk undangan menghadiri ujian sidang promosi doktor s3 tahap ii dekan fakultas pendidikan ekonomi dan bisnis universitas pendidikan indonesia,SURAT DINAS
Masuk,Undangan Menghadiri Ujian Sidang Promosi Doktor (S3) Tahap II,Dekan Fakultas Pendidikan Ekonomi dan Bisnis Universitas Pendidikan Indonesia,678 - Surat Dinas,masuk undangan menghadiri ujian sidang promosi doktor s3 tahap ii dekan fakultas pendidikan ekonomi dan bisnis universitas pendidikan indonesia,SURAT DINAS
Masuk,Undangan Menghadiri Ujian Sidang Promosi Doktor (S3) Tahap II,Dekan Fakultas Pendidikan Ekonomi dan Bisnis Universitas Pendidikan Indonesia,679 - Surat Dinas,masuk undangan menghadiri ujian sidang promosi doktor s3 tahap ii dekan fakultas pendidikan ekonomi dan bisnis universitas pendidikan indonesia,SURAT DINAS
Masuk,Undangan Menghadiri Ujian Sidang Promosi Doktor (S3) Tahap II,Dekan Fakultas Pendidikan Ekonomi dan Bisnis Universitas Pendidikan Indonesia,680 - Surat Dinas,masuk undangan menghadiri ujian sidang promosi doktor s3 tahap ii dekan fakultas pendidikan ekonomi dan bisnis universitas pendidikan indonesia,SURAT DINAS
Masuk,Undangan Menghadiri Ujian Sidang Promosi Doktor (S3) Tahap II,Dekan Fakultas Pendidikan Ekonomi dan Bisnis Universitas Pendidikan Indonesia,681 - Surat Dinas,masuk undangan menghadiri ujian sidang promosi doktor s3 tahap ii dekan fakultas pendidikan ekonomi dan bisnis universitas pendidikan indonesia,SURAT DINAS
Masuk,Undangan Menghadiri Ujian Sidang Promosi Doktor (S3) Tahap II,Dekan Fakultas Pendidikan Ekonomi dan Bisnis Universitas Pendidikan Indonesia,682 - Surat Dinas,masuk undangan menghadiri ujian sidang promosi doktor s3 tahap ii dekan fakultas pendidikan ekonomi dan bisnis universitas pendidikan indonesia,SURAT DINAS
Masuk,Cuti Bersama Idul Adha 1444H dan Natal 2023,Dewan Pengurus Pusat Serikat Pekerja Pos Indonesia,683 - Surat Dinas,masuk cuti bersama idul adha 1444h dan natal 2023 dewan pengurus pusat serikat pekerja pos indonesia,SURAT DINAS
Keluar,Perjanjian Kerja Waktu Tertentu antara PT Pos Indonesia (Persero) dengan Agung Dwi Handayanto sebagai Tenaga kerja Profesional Perusahaan Nomor : PKS 102/DIR- 1/0523,Direktur Keuangan dan Manajemen Risiko;,685 - SPK dan PKS,keluar perjanjian kerja waktu tertentu antara pt pos indonesia persero dengan agung dwi handayanto sebagai tenaga kerja profesional perusahaan nomor pks 102 dir 1 0523 direktur keuangan dan manajemen risiko,SPK DAN PKS
Keluar,Perjanjian Kerja Waktu Tertentu antara PT Pos Indonesia (Persero) dengan Witri Yunianti sebagai Tenaga kerja Profesional Perusahaan Nomor : PKS 126/DIR- 5/0523,Direktur Bisnis Kurir dan Logistik;,686 - SPK dan PKS,keluar perjanjian kerja waktu tertentu antara pt pos indonesia persero dengan witri yunianti sebagai tenaga kerja profesional perusahaan nomor pks 126 dir 5 0523 direktur bisnis kurir dan logistik,SPK DAN PKS
Keluar,Perjanjian Kerja Waktu Tertentu antara PT Pos Indonesia (Persero) dengan Felix Heru Wibowo sebagai Tenaga kerja Profesional Perusahaan Nomor : PKS 057/DIR-3/0523,Direktur Operasi dan Digital Services;,687 - SPK dan PKS,keluar perjanjian kerja waktu tertentu antara pt pos indonesia persero dengan felix heru wibowo sebagai tenaga kerja profesional perusahaan nomor pks 057 dir 3 0523 direktur operasi dan digital services,SPK DAN PKS
Keluar,Perjanjian Kerja Waktu Tertentu antara PT Pos Indonesia (Persero) dengan Erstya Gusti Hapsari sebagai Tenaga kerja Profesional Perusahaan Nomor : PKS 127/DIR-5/0523,Direktur Bisnis Kurir dan Logistik;,688 - SPK dan PKS,keluar perjanjian kerja waktu tertentu antara pt pos indonesia persero dengan erstya gusti hapsari sebagai tenaga kerja profesional perusahaan nomor pks 127 dir 5 0523 direktur bisnis kurir dan logistik,SPK DAN PKS
Keluar,Keputusan Direksi Nomor : KD 46/DIR-2/0523 tentang Perubahan Pertama atas Keputusan Direksi PT Pos Indonesia (Persero) Nomor : KD 129/DIR-2/1222 tentang Hari Libur Nasional Tahun 2023,Direktur Human Capital Management;,689 - KD,keluar keputusan direksi nomor kd 46 dir 2 0523 tentang perubahan pertama atas keputusan direksi pt pos indonesia persero nomor kd 129 dir 2 1222 tentang hari libur nasional tahun 2023 direktur human capital management,KD
Keluar,Berita Acara Kesepakatan antara PT Pos Indonesia (Persero) dengan PT Oren Teknologi Nusantara tentang Layanan Kemitraan Pospay secara Host to Host Nomor : BAK 547/DIR-4/0623,Direktur Bisnis Jasa Keuangan;,690 - BA,keluar berita acara kesepakatan antara pt pos indonesia persero dengan pt oren teknologi nusantara tentang layanan kemitraan pospay secara host to host nomor bak 547 dir 4 0623 direktur bisnis jasa keuangan,BA
Keluar,Perjanjian Rahasia dan Pelarangan Pengungkapan Informasi dengan PT JACCS Mitra Pinasthika Mustika Finance Indonesia,VP Financial Service Product Management;,691 - SPK dan PKS,keluar perjanjian rahasia dan pelarangan pengungkapan informasi dengan pt jaccs mitra pinasthika mustika finance indonesia vp financial service product management,SPK DAN PKS
Masuk,Laporan hasil Penilaian Indonesian Corporate Accountability Index (ICORPAX) pada PT Pos Indonesia Tahun 2022,Badan Pengawasan Keuangan dan Pembangunan Perwakilan Provinsi Jawa Barat (BPKP),692 - laporan,masuk laporan hasil penilaian indonesian corporate accountability index icorpax pada pt pos indonesia tahun 2022 badan pengawasan keuangan dan pembangunan perwakilan provinsi jawa barat bpkp,LAPORAN
